date	Germany	Spain	United Kingdom
19910101	5.5	15.5	8.6
19920101	6.6	17.0	9.8
19930101	7.8	20.8	10.2
19940101	8.4	22.0	9.3
19950101	8.2	20.7	8.5
19960101	8.9	19.9	7.9
19970101	9.6	18.4	6.8
19980101	9.4	16.4	6.1
19990101	8.6	13.6	5.9
20000101	7.9	11.9	5.4
20010101	7.8	10.6	5.0
20020101	8.6	11.5	5.1
20030101	9.7	11.5	5.0
20040101	10.4	11.0	4.7
20050101	11.2	9.2	4.8
20060101	10.1	8.5	5.4
20070101	8.5	8.2	5.3
20080101	7.4	11.3	5.6
20090101	7.6	17.9	7.6
20100101	7.0	19.9	7.8
20110101	5.8	21.4	8.1
20120101	5.4	24.8	7.9
20130101	5.2	26.1	7.6
20140101	5.0	24.5	6.1
